,prediction
1388,201.52228019008908
50052,2361.216213476837
41645,1052.0721323266807
42377,1230.106098053664
17244,10035.44478324005
1608,5802.53099598074
46398,1946.8151140624323
45493,1752.7457074494669
49385,2409.58269403148
10460,6644.672396650754
34243,843.149095320241
24772,12438.115592363034
42987,2611.9582616995576
51711,2878.047661641449
43777,1097.3016011376276
22232,10197.760171056027
1319,4124.896896104583
43219,883.3410666034579
21843,9521.273367886055
53626,352.0731655982963
27497,14602.402454638323
36554,759.4132806535272
21055,680.6865082111835
23028,684.9264247114152
5536,4719.127170449654
43434,1931.9122017105037
38522,742.6206851194002
24964,13998.268752380955
19771,6087.1249233485705
40271,307.9656680973276
8473,5506.896897127686
43496,1621.8460368296728
23558,13874.914090013852
46750,1334.5673809901855
49727,1694.0296998577141
34922,678.3342260253667
31849,618.9057735898896
47712,1725.0496413457222
48446,1286.6865767783202
27596,14624.356576680091
50090,2725.223448216311
45996,1767.3116863586838
34230,786.3418113135667
26268,14017.152847687448
1632,2848.0810954414155
30200,926.039683581992
24572,10505.971726557573
23577,9388.141399232642
27239,18325.831770340214
18519,8157.8032668160595
36083,644.0449586908289
20868,8209.54097031559
3751,3646.8746287186914
16971,5782.651416435048
9526,4292.6235028849405
14936,7250.415482464661
6916,4151.360063924716
28649,379.0624520088386
5876,4246.035987093837
46504,2224.5080527935897
52124,4726.511766038442
31327,300.7927530670422
26153,15655.090400572353
1414,5810.645143397909
34532,532.4103904560616
43946,745.5728007681391
708,2807.7090087722645
46868,1809.4040709748188
45181,1614.7248844556852
2593,2769.2057727857136
8178,5865.083210008013
44326,211.85217908862978
9353,5625.573094222396
25126,14326.981339620455
42131,1779.2049092417874
38422,976.7366742097547
25560,14587.495404484678
53408,2708.3886662011646
22905,9988.528393294673
22529,9496.347774696314
34238,815.7715446407456
30705,557.0050548163963
46350,1856.3871090723806
38912,857.757193124231
5572,6398.750759150154
39482,880.8325095554574
27363,414.08165885064227
51896,3864.355602363561
23822,11090.426130181
52801,2445.364739062483
17155,6182.613313888154
53440,3855.389439830724
44534,1380.00170752154
2008,4698.2562949834755
13058,5287.861084809396
47659,-96.08746840984895
36715,876.8086211231639
39880,1132.0446508101086
8510,4477.812820239682
45842,1348.0771541685135
30188,680.2579734685096
7180,5160.550038015128
49279,1738.3570742825505
12680,6075.837673534528
33612,107.02024780359716
26448,9838.734074798915
2729,647.8887317371846
36256,1080.5739175462586
35986,1015.3083538145511
29306,380.7530802676629
9987,6362.017846710371
30239,533.155353821392
50377,1612.7336513979462
51115,2622.8244293635435
10439,5177.786798276225
12668,5181.055554777604
17841,11451.688680663989
3799,4756.46888640141
4918,2956.317378973785
52396,2171.4975047143816
13206,6284.734000660877
26517,11497.334317485895
21504,5305.273841045242
21229,10525.835116666185
13373,90.09584244780854
34500,1078.6527805560218
28576,394.6896670004171
38516,764.0949257239881
29434,721.1984581830911
8368,5354.176807249934
37591,-74.52125875961065
8880,5574.220086535253
38731,1134.2756620078071
13399,333.47600680755204
39083,526.8637978680708
42610,570.4260571376763
41818,1173.3704558538411
6994,5522.853513599861
43622,2181.390657351174
48090,5192.769247878119
18885,5259.616712040757
51708,2999.3728484320673
32690,44.04681663343581
18273,14269.736879654323
9314,6085.584132139027
45633,266.6733211883111
13114,5164.547234957872
23825,9645.408363105893
32104,707.765264579004
42225,712.4903142274197
15975,7444.703535358505
47932,1606.6163334500561
26195,14211.295219724267
38921,812.8734364878728
53726,3045.4072206563287
30214,525.9155409122031
1221,3855.0047256277976
50746,3543.938411379724
24793,8200.223069498914
24280,9863.84206034062
16107,7358.858591263053
22349,14168.408174975288
40803,877.4806374551845
49527,1869.504558132856
45401,2256.348931094941
13131,5661.437879346582
49217,5323.192582472138
8780,4944.792211150689
7479,5310.103466983912
28990,718.0090855483031
19634,9710.399560785367
23002,9353.015787222803
45422,2150.087569926327
17823,6156.370536582288
18622,5823.464988639276
35108,373.2456679514107
2360,4585.107682200338
33259,948.7201997196171
27379,391.8973578893456
1281,3632.68868301608
15703,213.15040527677775
36198,1314.9928571405471
35579,553.4989772446097
49985,3275.817471125294
28895,418.77005217573605
49471,2534.2048745523716
1246,3747.019259675104
39822,399.26882258221303
36628,531.6612708984685
39483,1033.132534133416
15731,9028.893241621461
41819,2688.099438932313
15035,572.6023617392821
22261,6183.886468909563
25782,14038.298070815319
16671,7265.21025006978
31166,558.8477192702376
12949,4693.004358905444
20628,5677.327602594467
10810,5322.116306273521
31743,1023.2339384684528
11645,6735.970695843163
38461,404.8394321224805
52431,2929.556119227276
36213,490.3435193358273
1975,3268.36008188656
46582,2058.2106857323706
4740,4508.2976684336245
29064,807.2457609105841
5205,5698.5564639929435
37452,673.2733097801538
26612,14903.202148977478
22977,9324.323681270636
4879,4815.551978539719
41026,1245.487920103209
39363,1453.0341607564915
44620,2162.432643271797
10453,5262.047990414287
24784,20982.179303842742
45435,2391.631799696319
12496,5226.732076062395
5055,191.4634482897418
34852,458.10573554874645
27996,-15.62702874407114
40728,1883.1342970728474
12474,5545.471968760525
12691,-92.88640975304588
1175,3212.432268649314
8145,4875.705099228184
28238,941.0182175045156
2758,4101.214771989897
23357,730.5711895064596
8247,5460.320442841836
46800,3052.4112582344496
36501,823.3056668370882
10317,5212.423901368018
2807,2883.3308110146354
20248,7229.485762600674
14606,6958.142284607544
22572,9654.353452626261
35893,673.384634325037
24026,9714.248776859906
40009,908.0032349689282
20267,11843.44446165427
36786,863.3092287403997
2893,4044.7493212595145
41066,1873.890607080244
9167,5112.266279163128
14343,7271.135178874021
23742,14037.571504945568
39821,757.2751781145889
46700,1736.1316999524643
27538,14114.367606241223
40443,2981.8206359424985
26995,14229.80099720505
50180,3081.1059562489936
8899,3178.7044526115096
20347,11238.876938684421
19018,14789.635919550197
26300,11480.241034677942
35033,626.2950306317252
36569,374.40257905107865
50521,3149.5618680300613
5246,5334.2491113247925
8440,7119.940014946382
39031,1225.7766486645196
34345,1192.7891575841531
21393,9429.651475854567
18027,5354.912189785371
26146,13815.772004748978
28846,641.1317258144445
14598,6958.549377049401
51088,3281.6049532402612
7258,7011.539810119777
6537,6706.603981496597
50030,3189.830924148311
51546,3323.002400090845
28160,473.60563039779663
53814,3124.244659715063
28041,464.68796824828314
2463,3120.669731739945
12956,5328.205193153077
24864,9764.460267573404
32412,1320.5394497285415
18692,736.5829731604499
38129,426.83064483990165
32377,28.991979451020597
48904,1368.6704837843827
22552,9612.635033281877
23146,5309.717813167872
34187,468.1618929118122
34083,838.5099655630729
18500,9185.18502011399
1655,3396.527087758768
9841,5868.097733856521
9069,6187.5559168209675
27711,304.980969842607
50821,3784.6465454854806
39946,-359.8269035880294
5567,3919.908128844414
7964,5798.736639885665
34032,1256.0305353841904
11749,5999.320057702282
37467,1163.9208802083303
34726,1250.7077032729758
7722,218.46570755822904
23352,388.6908562043682
25384,9474.458893429572
52541,2912.4958142910837
9584,5236.125603104279
5187,4292.336200755839
1372,3812.849671386208
18905,9556.723526084004
13802,6968.384624901488
31687,334.39082401923224
27391,10090.357640136577
41843,685.8551348508809
34963,194.349365159811
21365,1342.635156261309
41461,1121.160202252835
10388,532.7426429024563
45130,1493.517923847954
8939,4988.234504658631
30786,272.7335868350892
36614,349.5761007328765
53073,3252.569514945899
44123,1452.069908202986
28009,409.436304490162
16962,6528.726619464063
19573,9753.87272036566
2672,3338.977085226332
50766,3233.4059624364163
10127,6222.174220022765
26964,11229.575325516576
8321,5092.586221019592
15199,6989.162226095552
24780,11635.832763341365
2885,2782.246545928596
1901,3704.029030991853
50171,3223.5888016381723
25812,15532.989519336885
21759,9402.503322519467
11475,4820.7581780707005
6689,7063.399376997737
28175,788.1546501736193
25695,610.2550863306788
38728,1275.3965815185365
24418,10371.749898066757
48178,1835.9663033180477
2630,3020.9379650858245
10424,7469.237115136071
34740,663.7861381982038
51949,2536.7192218513446
27275,14078.458810412852
33035,613.0645244919397
31447,1070.8853637264583
7481,4262.307573578855
23858,9503.456541948051
36662,643.8069201296494
4465,3020.2123572197233
18775,5521.96056936632
46397,1810.5379047353345
34847,510.4948176997641
13752,5739.44774456935
14774,5154.761269064244
17680,4899.350548629005
14526,5118.80322805849
12102,6482.9880555928485
29973,817.7536312209195
3265,3244.5805824791205
26009,9652.61696271993
11578,6418.259671956803
17346,11474.242223881889
32420,988.2576125532796
3227,3325.5068009465904
33877,522.4755040811106
19685,369.1234278321717
35280,455.4880987954348
22034,267.87820901998566
23881,7862.760938052474
48821,3023.3404688432165
25751,9858.556670782478
49440,3105.5879908379975
2965,5232.129729778528
14341,5610.9893080755555
53233,3111.5527373730947
21987,7077.804005762289
13933,6861.903641057817
12469,6918.636066678493
50976,675.2751174728983
53379,3475.365790872216
43511,1414.5666093537002
19486,4931.346743788885
18276,6683.532331733681
40668,1304.261832479664
11026,4450.92458309852
12847,7261.277552783004
28086,261.53192808002495
24620,9189.269076561093
5866,4998.347279970489
50268,2311.3270287665
30934,137.80197430191402
17567,6614.564227569188
26741,15880.02345542061
2969,4127.599938407049
36079,1108.470079051931
49915,3026.8113163054186
46036,2070.0937845909866
26446,13985.489839932467
25501,9254.153124278482
37964,1093.3078612869103
39212,697.8167992198869
13920,6514.8099072272435
13252,6010.115753793039
12758,5217.131316705458
2668,3055.9915696754615
19718,9269.647557708822
30976,1088.0771920607913
15394,6975.9834001371655
17377,309.2094570918962
12163,6237.023712614517
37880,734.3212723189245
13249,6883.040186187829
644,3500.4846440797337
53654,3343.3450655104098
42836,1278.2952957976377
27745,13918.405647089723
53492,3299.6853941669724
6181,4933.726693858445
32825,794.6154538470655
13822,7101.78040238305
16213,5344.900964349066
29325,191.4634482897418
40652,1886.5583520422188
12737,6613.256697845105
38100,871.5820896987607
28337,567.7106748236511
52585,3376.632656128906
17461,5405.243646260533
9877,4377.425647307038
41382,1152.4053848929834
25636,15356.700162061306
21056,282.63218250005957
53743,2752.2564680370815
3222,3236.242615738556
33473,578.1502595537313
21945,6692.725800154709
5732,3831.4410399259723
4788,4813.942568263026
8385,626.1683166154289
16247,5143.18785057366
25902,15562.325057169382
29235,1445.3868897921056
41121,1931.0925517330797
36383,818.1731087850203
3025,2871.51073113663
23878,12340.993173122873
51774,3392.7720855694533
48970,774.7091828118173
9769,5994.593286865616
30596,455.4450598308176
35876,1568.4386016552744
15838,4972.075547944958
17037,10016.984113134931
24304,9875.94876629265
33051,628.6885412949159
39156,962.7829768173469
36856,1367.1414153779406
50889,2258.411999798973
34680,803.1209103384281
34495,693.8974870778366
21407,5651.212333378937
26334,13979.42016988431
52327,3328.540698684861
13909,5641.09841211562
53566,2543.089949441288
32073,1049.6469031075576
43572,1003.9449955596683
53592,2997.1016392589045
53444,2974.91643072668
49582,3102.4044131088085
31861,498.7467268514156
4265,3646.6098802774286
45806,1468.5009493482503
30964,912.6978528973341
45535,1681.3236325557773
9937,4043.388528833617
28532,764.2361583375605
212,3351.5662462873806
3928,4540.287467216298
80,-195.1238824893626
16100,5549.997357359342
45868,1711.2356308275412
22493,13737.607035480796
4162,4308.468447589432
51121,3191.5445517934677
22581,10194.211036129083
7133,5329.782585514329
34702,515.6525398925733
14951,6870.435807429274
20548,6426.984616130398
5954,5232.043791496739
43137,2115.1659506072538
43520,2559.3544404488675
1792,3097.3482224010077
14804,7891.602330099309
39027,1421.9390320502207
32166,1085.883776799532
27229,11424.258668227962
14991,7213.454653355844
22808,13803.879131221027
53515,3127.2786512744206
48665,3667.9252723479913
23281,9391.86838631541
2954,3952.9856776177403
48286,1619.4712009560208
18925,9362.078755703247
49736,1617.6995721827989
13712,960.0192705485097
37793,1007.3664400761263
46518,1939.426362281385
24267,11493.559200287758
17649,7554.522672670837
17515,5690.415394465703
37200,795.9281161575891
8449,5303.628944678854
51394,2881.9901519880987
52208,2546.0248010470095
37187,590.8842032943794
45326,381.3342573315822
19890,6955.870479284797
7474,5249.304447453207
7801,5128.61174763995
49361,2902.6018790995477
50540,1956.6589847407631
27483,15774.15414444525
46927,1369.4549544388465
33943,663.333919990142
9851,11667.116495266982
